Unnamed: 0,Name,Rating,Number of Ratings,Price,Region,Winery,Wine style,Alcohol content,Grapes,Food pairings,Bold,Tannin,Sweet,Acidic
29,Red Silk Shiraz 2016,3.8,111,18.99,Australia / South Australia / Fleurieu / McLaren Vale,Oliverhill,Australian Shiraz,15.0,100 Shiraz/Syrah,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",85.0,47.14,20.18,42.58
30,The Stump Jump White Blend 2016,3.9,257,11.99,Australia / South Australia / Fleurieu / McLaren Vale,d'Arenberg,Australian Riesling,11.0,100 Riesling,"['Pork', 'Shellfish', 'Poultry', 'Appetizers and snacks', 'Cured Meat']",44.259,46.29526972,9.05,53.555
31,Killerman's Run Shiraz 2018,3.8,1141,22.83,Australia / South Australia / Mount Lofty Ranges / Clare Valley,Kilikanoon,Australian Shiraz,14.5,100 Shiraz/Syrah,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",85.0,46.77,20.1,43.79
32,Entity Shiraz 2019,4.2,280,34.94,Australia / South Australia / Barossa / Barossa Valley,John Duval,Australian Shiraz,14.5,100 Shiraz/Syrah,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",84.27,45.34,21.84,43.32
33,Catapult Shiraz 2016,3.8,420,19.99,Australia / South Australia / Fleurieu / McLaren Vale,Wirra Wirra,Australian Shiraz,14.5,100 Shiraz/Syrah,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",84.33,48.52,18.5,44.97
36,The Scooter Merlot 2014,4.0,463,27.99,Australia / South Australia / Fleurieu / McLaren Vale,Mollydooker,Australian Merlot,15.0,100 Merlot,"['Beef', 'Lamb', 'Veal']",68.86,19.81,10.28,10.47
37,Traditionale Riesling 2019,3.8,307,23.74,Australia / South Australia / Mount Lofty Ranges / Clare Valley,Pikes,Australian Riesling,11.0,100 Riesling,"['Pork', 'Shellfish', 'Poultry', 'Appetizers and snacks', 'Cured Meat']",41.9521,46.29526972,9.05,53.555
38,The Stump Jump White Blend 2017,3.9,1037,11.99,Australia / South Australia / Fleurieu / McLaren Vale,d'Arenberg,Australian Riesling,12.5,"Riesling, Marsanne","['Pork', 'Shellfish', 'Poultry', 'Appetizers and snacks', 'Cured Meat']",44.259,46.29526972,9.05,53.555
39,Bin 51 Riesling 2017,3.8,298,42.99,Australia / South Australia / Barossa / Eden Valley,Penfolds,Australian Riesling,12.5,100 Riesling,"['Pork', 'Shellfish', 'Poultry', 'Appetizers and snacks', 'Cured Meat']",42.4737,46.29526972,9.05,53.555
40,Valley Floor Shiraz 2017,4.1,1288,30.0,Australia / South Australia / Barossa,Langmeil,Australian Shiraz,14.5,100 Shiraz/Syrah,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",85.0,45.86,20.32,43.07
41,Sparkling Shiraz 2016,3.9,153,16.31,Australia / South Australia / Barossa / Barossa Valley,Schild Estate,Australian Sparkling Shiraz,13.5,100 Shiraz/Syrah,"['Beef', 'Lamb', 'Game (deer, venison)', 'Mature and hard cheese', 'Goat cheese']",61.73,46.29526972,9.05,53.555
45,The Lodge Hill Shiraz 2015,3.8,696,19.99,Australia / South Australia / Mount Lofty Ranges / Clare Valley,Jim Barry,Australian Shiraz,14.0,100 Merlot,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",85.0,47.6,18.03,45.43
48,Filius Cabernet Sauvignon 2019,3.9,545,21.84,Australia / Western Australia / South West Australia / Margaret River,Vasse Felix,Australian Cabernet Sauvignon,14.0,100 Cabernet Sauvignon,"['Beef', 'Lamb', 'Poultry']",65.28,55.53,3.75,54.46
49,d'Arry's Original Shiraz - Grenache 2018,3.8,306,17.09,Australia / South Australia / Fleurieu / McLaren Vale,d'Arenberg,Australian Rhône Blend Red,14.5,"Shiraz/Syrah, Grenache","['Beef', 'Pasta', 'Lamb', 'Game (deer, venison)']",85.0,49.39,8.55,45.15
55,The Menzies Cabernet Sauvignon 2013,4.0,269,39.89,Australia / South Australia / Limestone Coast / Coonawarra,Yalumba,Australian Cabernet Sauvignon,14.0,100 Cabernet Sauvignon,"['Beef', 'Lamb', 'Poultry']",66.81,55.92,11.51,51.89
56,Stonehorse Grenache - Shiraz (Mourvèdre) 2017,3.8,353,29.17,Australia / South Australia / Barossa / Barossa Valley,Kaesler,Australian Rhône Blend Red,14.0,100 Grenache,"['Beef', 'Pasta', 'Lamb', 'Game (deer, venison)']",85.0,44.95,11.81,44.18
57,Little Yering Shiraz 2016,3.8,84,20.0,Australia / Victoria / Port Phillip / Yarra Valley,Yering Station,Australian Shiraz,14.3,100 Shiraz/Syrah,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",85.0,50.31,22.19,42.83
58,Shiraz 2019,3.8,37,22.9,Australia / Victoria / Western Victoria / Grampians,Ben Haines,Australian Shiraz,13.5,100 Shiraz/Syrah,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",81.6,52.63,4.19,55.29
60,Bobbie Burns Shiraz 2013,3.8,316,33.37,Australia / Victoria / North East Victoria / Rutherglen,Campbells,Australian Shiraz,14.5,100 Shiraz/Syrah,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",81.93,40.7,18.98,41.04
62,The Footbolt Shiraz 2019,3.8,474,17.99,Australia / South Australia / Fleurieu / McLaren Vale,d'Arenberg,Australian Shiraz,14.5,100 Chardonnay,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",84.15,50.04,17.74,45.29
63,Siblings Shiraz 2018,3.8,162,25.2,Australia / Western Australia / South West Australia / Margaret River,Leeuwin Estate,Australian Shiraz,13.5,100 Shiraz/Syrah,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",82.93,45.91,15.63,45.57
64,Angela Shiraz 2018,3.9,90,25.5,Australia / South Australia / Fleurieu / McLaren Vale,Mitolo,Australian Shiraz,14.5,100 Shiraz/Syrah,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",84.88,48.36,23.71,45.04
65,Now by Paxton Shiraz 2021,3.8,26,19.99,Australia / South Australia / Fleurieu / McLaren Vale,Paxton,Australian Shiraz,14.0,100 Shiraz/Syrah,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",81.46,44.26,16.78,43.59
66,The Stump Jump White Blend 2019,3.9,100,11.99,Australia / South Australia / Fleurieu / McLaren Vale,d'Arenberg,Australian Riesling,11.5,"54 Riesling, 30 Marsanne, 16 Roussanne","['Pork', 'Shellfish', 'Poultry', 'Appetizers and snacks', 'Cured Meat']",44.259,46.29526972,9.05,53.555
67,Pride of the Fleurieu Cabernet Sauvignon 2015,3.9,81,19.99,Australia / South Australia / Fleurieu,Dandelion Vineyards,Australian Cabernet Sauvignon,14.0,100 Cabernet Sauvignon,"['Beef', 'Lamb', 'Poultry']",68.15,52.87,8.0,53.22
68,Prelude Vineyards Chardonnay 2020,3.9,153,34.99,Australia / Western Australia / South West Australia / Margaret River,Leeuwin Estate,Australian Chardonnay,13.5,100 Chardonnay,"['Pork', 'Rich fish (salmon, tuna etc)', 'Vegetarian', 'Poultry']",54.0391,46.29526972,9.05,53.555
69,Moppa Shiraz 2017,4.0,376,32.99,Australia / South Australia,Kalleske,Australian Shiraz,14.5,100 Shiraz/Syrah,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",85.0,43.27,21.77,41.77
70,Bin 51 Riesling 2019,3.9,151,42.99,Australia / South Australia / Barossa / Eden Valley,Penfolds,Australian Riesling,12.5,100 Riesling,"['Pork', 'Shellfish', 'Poultry', 'Appetizers and snacks', 'Cured Meat']",42.4737,46.29526972,9.05,53.555
72,Cuvée Juveniles 2019,3.9,198,18.99,Australia / South Australia / Barossa,Torbreck,Australian Rhône Blend Red,15.0,"Shiraz/Syrah, Grenache, Mourvedre","['Beef', 'Pasta', 'Lamb', 'Game (deer, venison)']",85.0,47.1,12.78,45.01
73,The Steading 2017,4.1,526,37.98,Australia / South Australia / Barossa / Barossa Valley,Torbreck,Australian Rhône Blend Red,15.0,"Shiraz/Syrah, Mataro, Grenache","['Beef', 'Pasta', 'Lamb', 'Game (deer, venison)']",85.0,45.38,10.77,43.06
74,Shiraz 2018,3.8,203,18.99,Australia / South Australia / Fleurieu / McLaren Vale,Thomas Goss,Australian Shiraz,14.5,100 Shiraz/Syrah,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",85.0,49.22,20.21,44.79
76,Shays Flat Vineyard Shiraz 2014,3.8,225,22.48,Australia / Victoria / Western Victoria / Pyrenees,Domaine Tournon,Australian Shiraz,14.5,100 Shiraz/Syrah,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",84.72,49.1,19.42,43.61
77,Ladies Who Shoot Their Lunch Shiraz 2018,4.0,65,44.09,Australia / Victoria,Fowles Wine,Australian Shiraz,14.0,100 Shiraz/Syrah,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",84.11,45.44,15.41,47.67
78,The Scooter Merlot 2015,3.9,701,27.99,Australia / South Australia / Fleurieu / McLaren Vale,Mollydooker,Australian Merlot,15.0,100 Merlot,"['Beef', 'Lamb', 'Veal']",68.86,19.81,10.28,10.47
80,Filius Cabernet Sauvignon 2018,3.9,554,20.89,Australia / Western Australia / South West Australia / Margaret River,Vasse Felix,Australian Cabernet Sauvignon,14.5,100 Cabernet Sauvignon,"['Beef', 'Lamb', 'Poultry']",65.23,55.48,3.89,54.53
81,The Bolter Shiraz 2018,3.9,48,14.95,Australia / South Australia,Mr. Riggs,Australian Shiraz,14.5,100 Shiraz/Syrah,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",85.0,44.65,17.81,42.15
82,Tolmer Cabernet Sauvignon 2019,3.8,253,29.28,Australia / South Australia / Limestone Coast / Coonawarra,Penley Estate,Australian Cabernet Sauvignon,14.5,100 Cabernet Sauvignon,"['Beef', 'Lamb', 'Poultry']",66.68,60.92,7.64,54.65
83,Director's Cut Shiraz 2012,4.1,1091,35.99,Australia / South Australia / Fleurieu / Langhorne Creek,Heartland,Australian Shiraz,14.8,100 Shiraz/Syrah,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",85.0,45.85,21.67,42.02
84,Mother's Milk Shiraz 2020,3.9,154,16.14,Australia / South Australia / Barossa,First Drop,Australian Shiraz,14.5,100 Shiraz/Syrah,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",85.0,42.44,18.06,42.39
85,Max's Cabernet Sauvignon 2016,3.9,1111,19.99,Australia / South Australia,Penfolds,Australian Cabernet Sauvignon,14.5,100 Cabernet Sauvignon,"['Beef', 'Lamb', 'Poultry']",68.33,55.45,7.89,53.45
87,The Boxer Shiraz 2018,4.1,3094,27.99,Australia / South Australia / Fleurieu / McLaren Vale,Mollydooker,Australian Shiraz,16.0,100 Shiraz/Syrah,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",85.0,47.06,22.26,42.96
89,Filius Chardonnay 2020,3.9,295,20.89,Australia / Western Australia / South West Australia / Margaret River,Vasse Felix,Australian Chardonnay,12.5,100 Chardonnay,"['Pork', 'Rich fish (salmon, tuna etc)', 'Vegetarian', 'Poultry']",53.1818,46.29526972,9.05,53.555
92,Snake Charmer Shiraz 2016,3.9,173,33.99,Australia / South Australia / Fleurieu / McLaren Vale,Vinaceous,Australian Shiraz,14.5,100 Shiraz/Syrah,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",85.0,45.85,18.44,44.92
93,Cliff Edge Shiraz 2015,3.9,174,32.0,Australia / Victoria / Western Victoria / Grampians,Mount Langi Ghiran,Australian Shiraz,14.0,100 Shiraz/Syrah,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",82.99,44.17,19.26,44.85
94,The Maitre d'Cabernet Sauvignon 2019,4.0,380,25.94,Australia / South Australia / Fleurieu / McLaren Vale,Mollydooker,Australian Cabernet Sauvignon,16.0,100 Cabernet Sauvignon,"['Beef', 'Lamb', 'Poultry']",70.23,56.28,13.08,53.49
100,Bugalugs Shiraz 2020,4.0,51,21.99,Australia / South Australia / Barossa,Tim Smith,Australian Shiraz,14.0,100 Shiraz/Syrah,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",85.0,40.59,19.82,43.15
101,Highbury Fields Chardonnay 2019,3.8,30,26.67,Australia / Western Australia / South West Australia / Great Southern / Mount Barker,Forest Hill,Australian Chardonnay,13.0,100 Chardonnay,"['Pork', 'Rich fish (salmon, tuna etc)', 'Vegetarian', 'Poultry']",52.8461,46.29526972,9.05,53.555
102,Ladies Who Shoot Their Lunch Wild Ferment Chardonnay 2019,4.2,27,43.99,Australia / Victoria / Central Victoria / Strathbogie Ranges,Fowles Wine,Australian Chardonnay,13.3,100 Chardonnay,"['Pork', 'Rich fish (salmon, tuna etc)', 'Vegetarian', 'Poultry']",58.9356,46.29526972,9.05,53.555
103,The Scooter Merlot 2020,3.8,29,27.99,Australia / South Australia / Fleurieu / McLaren Vale,Mollydooker,Australian Merlot,15.5,100 Merlot,"['Beef', 'Lamb', 'Veal']",68.86,19.81,10.28,10.47
105,Titan Cabernet Sauvignon 2019,4.2,46,19.99,Australia / South Australia / Fleurieu / McLaren Vale,Alpha Crucis,Australian Cabernet Sauvignon,14.5,100 Cabernet Sauvignon,"['Beef', 'Lamb', 'Poultry']",69.42,60.84,0.72,53.97
106,Bin 28 Shiraz 2019,4.1,1074,26.99,Australia / South Australia / Barossa / Barossa Valley,Penfolds,Australian Shiraz,14.5,100 Shiraz/Syrah,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",85.0,46.42,20.04,42.9
107,The Steading 2018,4.1,492,35.25,Australia / South Australia / Barossa / Barossa Valley,Torbreck,Australian Rhône Blend Red,15.0,Grenache,"['Beef', 'Pasta', 'Lamb', 'Game (deer, venison)']",85.0,45.38,10.77,43.06
108,Miss Molly Sparkling Shiraz 2019,3.8,116,27.99,Australia / South Australia / Limestone Coast / Padthaway,Mollydooker,Australian Sparkling Shiraz,15.0,Shiraz/Syrah,"['Beef', 'Lamb', 'Game (deer, venison)', 'Mature and hard cheese', 'Goat cheese']",61.73,46.29526972,9.05,53.555
110,Shiraz 2014,3.8,484,26.99,Australia / South Australia / Fleurieu / McLaren Vale,Yangarra,Australian Shiraz,14.0,100 Shiraz/Syrah,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",84.96,47.27,18.28,42.73
111,Promised Land Shiraz 2019,3.9,315,6.5,Australia / South Australia,Taylors / Wakefield,Australian Shiraz,14.0,100 Shiraz/Syrah,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",83.33,45.89,19.63,43.5
116,Plexus Red 2013,3.9,315,29.98,Australia / South Australia / Barossa / Barossa Valley,John Duval,Australian Rhône Blend Red,14.5,"Mourvedre, Grenache","['Beef', 'Pasta', 'Lamb', 'Game (deer, venison)']",85.0,43.74,9.25,43.42
117,Field Street Shiraz 2018,3.9,71,25.0,Australia / South Australia / Fleurieu / McLaren Vale,S.C. Pannell,Australian Shiraz,14.0,100 Shiraz/Syrah,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",84.2,49.61,13.56,46.65
118,Estate Shiraz 2018,3.9,1542,22.32,Australia / South Australia / Mount Lofty Ranges / Clare Valley,Taylors / Wakefield,Australian Shiraz,14.0,100 Shiraz/Syrah,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",84.48,45.08,22.76,43.13
119,Entity Shiraz 2018,4.3,331,34.94,Australia / South Australia / Barossa / Barossa Valley,John Duval,Australian Shiraz,14.5,100 Shiraz/Syrah,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",84.27,45.34,21.84,43.32
120,L-BLOCK Shiraz 2013,4.0,51,25.98,Australia / Victoria / Western Victoria / Pyrenees,Domaine Terlato & Chapoutier,Australian Shiraz,14.5,Shiraz/Syrah,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",85.0,53.74,20.74,46.35
121,Puritan Shiraz 2019,3.8,80,20.0,Australia / South Australia / Fleurieu / McLaren Vale,Battle of Bosworth,Australian Shiraz,14.5,100 Shiraz/Syrah,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",81.95,45.02,18.86,46.2
122,The Steading 2019,4.1,170,36.0,Australia / South Australia / Barossa / Barossa Valley,Torbreck,Australian Rhône Blend Red,15.0,"53 Grenache, 28 Shiraz/Syrah, 19 Mataro","['Beef', 'Pasta', 'Lamb', 'Game (deer, venison)']",85.0,45.38,10.77,43.06
123,Max's Cabernet Sauvignon 2017,3.8,706,19.99,Australia / South Australia,Penfolds,Australian Cabernet Sauvignon,14.5,100 Cabernet Sauvignon,"['Beef', 'Lamb', 'Poultry']",68.33,55.45,7.89,53.45
128,Shiraz (Signature) 2019,3.8,117,22.67,Australia / South Australia / Fleurieu / McLaren Vale,Robert Oatley,Australian Shiraz,14.5,100 Shiraz/Syrah,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",84.19,43.25,16.84,40.69
129,M3 Chardonnay 2020,4.0,289,45.33,Australia / South Australia / Mount Lofty Ranges / Adelaide Hills,Shaw + Smith,Australian Chardonnay,13.5,100 Chardonnay,"['Pork', 'Rich fish (salmon, tuna etc)', 'Vegetarian', 'Poultry']",54.0862,46.29526972,9.05,53.555
130,Lionheart of the Barossa Shiraz 2019,3.9,2013,25.99,Australia / South Australia / Barossa / Barossa Valley,Dandelion Vineyards,Australian Shiraz,14.5,100 Shiraz/Syrah,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",85.0,47.31,21.53,43.37
131,Mother's Milk Shiraz 2019,3.9,644,16.14,Australia / South Australia / Barossa,First Drop,Australian Shiraz,14.5,100 Shiraz/Syrah,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",85.0,42.44,18.1,42.39
132,Sexy Beast Cabernet Sauvignon 2017,3.9,907,26.7,Australia / South Australia / Fleurieu / McLaren Vale,Two Hands,Australian Cabernet Sauvignon,13.4,100 Cabernet Sauvignon,"['Beef', 'Lamb', 'Poultry']",67.93,56.53,10.92,54.68
133,Valley Floor Shiraz 2013,4.1,386,16.98,Australia / South Australia / Barossa,Langmeil,Australian Shiraz,14.5,Shiraz/Syrah,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",85.0,45.86,20.32,43.07
136,Mathilda Shiraz 2017,3.8,1052,15.95,Australia / Victoria,Domaine Tournon,Australian Shiraz,14.5,100 Shiraz/Syrah,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",81.52,46.79,15.86,45.75
138,Basket Pressed Shiraz 2014,3.8,194,31.98,Australia / South Australia / Fleurieu / McLaren Vale,Kay Brothers,Australian Shiraz,14.2,100 Shiraz/Syrah,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",85.0,43.1,21.03,41.37
139,The Wild Ride 2018,3.9,38,18.99,Australia / South Australia / Barossa / Barossa Valley,Tait,Australian Rhône Blend Red,15.9,"Mourvedre, Shiraz/Syrah, Grenache","['Beef', 'Pasta', 'Lamb', 'Game (deer, venison)']",85.0,49.68,4.44,46.1
140,Entity Shiraz 2020,4.1,66,34.94,Australia / South Australia / Barossa / Barossa Valley,John Duval,Australian Shiraz,14.5,100 Shiraz/Syrah,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",84.27,45.34,21.84,43.32
144,Organic Viognier 2021,3.8,167,19.99,Australia / South Australia,Yalumba,Australian Viognier,13.5,100 Viognier,"['Pork', 'Rich fish (salmon, tuna etc)', 'Spicy food', 'Poultry']",53.192,46.29526972,9.05,53.555
148,Moppa Shiraz 2020,4.1,205,36.45,Australia / South Australia,Kalleske,Australian Shiraz,14.5,Shiraz/Syrah,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",85.0,43.27,21.77,41.77
151,Nest Egg Shiraz 2013,4.3,131,32.0,Australia / South Australia / Mount Lofty Ranges / Adelaide Hills,Bird In Hand,Australian Shiraz,14.5,100 Shiraz/Syrah,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",84.62,41.54,18.61,37.18
152,Wallace (Shiraz - Grenache) 2016,3.8,900,23.74,Australia / South Australia / Barossa / Barossa Valley,Glaetzer,Australian Rhône Blend Red,14.5,100 Grenache,"['Beef', 'Pasta', 'Lamb', 'Game (deer, venison)']",85.0,47.99,13.89,44.32
153,GSM 2016,4.0,130,27.99,Australia / South Australia / Fleurieu / McLaren Vale,Yangarra,Australian Rhône Blend Red,14.5,100 Grenache,"['Beef', 'Pasta', 'Lamb', 'Game (deer, venison)']",85.0,48.52,8.65,45.57
154,Chardonnay 2013,3.8,129,29.56,Australia / South Australia / Barossa / Eden Valley,Heggies,Australian Chardonnay,13.0,100 Chardonnay,"['Pork', 'Rich fish (salmon, tuna etc)', 'Vegetarian', 'Poultry']",53.7001,46.29526972,9.05,53.555
155,Rufus Stone Heathcote Shiraz 2019,3.8,112,24.92,Australia / Victoria / Central Victoria / Heathcote,Tyrrell's,Australian Shiraz,14.5,100 Shiraz/Syrah,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",85.0,46.85,17.97,44.59
156,d'Arry's Original Shiraz - Grenache 2015,3.8,430,17.09,Australia / South Australia / Fleurieu / McLaren Vale,d'Arenberg,Australian Rhône Blend Red,14.5,"Shiraz/Syrah, Grenache","['Beef', 'Pasta', 'Lamb', 'Game (deer, venison)']",85.0,49.39,8.55,45.15
161,Riesling 2021,3.8,81,18.49,Australia / South Australia / Barossa / Eden Valley,Pewsey Vale,Australian Riesling,12.0,100 Riesling,"['Pork', 'Shellfish', 'Poultry', 'Appetizers and snacks', 'Cured Meat']",41.7034,46.29526972,9.05,53.555
162,The Cigar Cabernet Sauvignon 2016,4.1,414,32.99,Australia / South Australia / Limestone Coast / Coonawarra,Yalumba,Australian Cabernet Sauvignon,14.5,100 Cabernet Sauvignon,"['Beef', 'Lamb', 'Poultry']",67.52,56.08,7.91,54.17
163,Hills & Valleys Riesling 2018,3.8,206,29.99,Australia / South Australia / Mount Lofty Ranges / Clare Valley,Pikes,Australian Riesling,11.0,100 Riesling,"['Pork', 'Shellfish', 'Poultry', 'Appetizers and snacks', 'Cured Meat']",42.2872,46.29526972,9.05,53.555
164,Sexy Beast Cabernet Sauvignon 2018,4.1,1426,26.7,Australia / South Australia / Fleurieu / McLaren Vale,Two Hands,Australian Cabernet Sauvignon,14.2,100 Cabernet Sauvignon,"['Beef', 'Lamb', 'Poultry']",67.93,56.58,10.87,54.68
166,The Formula Robert's Shiraz 2018,3.8,78,18.99,Australia / South Australia / Barossa / Barossa Valley,Small Gully,Australian Shiraz,14.9,100 Shiraz/Syrah,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",85.0,43.67,19.47,42.11
169,Scotsdale Cabernet Sauvignon 2016,4.1,71,35.99,Australia / Western Australia / South West Australia / Great Southern,Howard Park,Australian Cabernet Sauvignon,14.0,100 Cabernet Sauvignon,"['Beef', 'Lamb', 'Poultry']",64.6,52.86,14.65,50.69
171,The Scooter Merlot 2017,4.0,343,27.99,Australia / South Australia / Fleurieu / McLaren Vale,Mollydooker,Australian Merlot,16.0,100 Merlot,"['Beef', 'Lamb', 'Veal']",68.86,19.81,10.28,10.47
172,Double Barrel Shiraz 2018,3.9,1806,14.99,Australia / South Australia / Barossa,Jacob's Creek,Australian Shiraz,14.5,100 Shiraz/Syrah,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",85.0,42.96,20.42,42.71
173,Gnarly Dudes Shiraz 2018,4.0,1724,29.95,Australia / South Australia / Barossa / Barossa Valley,Two Hands,Australian Shiraz,13.8,100 Shiraz/Syrah,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",85.0,47.05,21.78,44.33
174,The Maitre d'Cabernet Sauvignon 2018,4.1,481,25.94,Australia / South Australia / Fleurieu / McLaren Vale,Mollydooker,Australian Cabernet Sauvignon,15.5,100 Cabernet Sauvignon,"['Beef', 'Lamb', 'Poultry']",70.24,56.32,13.1,53.5
176,The Maitre d'Cabernet Sauvignon 2016,4.1,771,25.94,Australia / South Australia / Fleurieu / McLaren Vale,Mollydooker,Australian Cabernet Sauvignon,15.5,100 Cabernet Sauvignon,"['Beef', 'Lamb', 'Poultry']",70.24,56.32,13.1,53.5
